,text,label,category,original_text,target
12,tsunami warning downgraded but stay away from beaches #eqnz,caution_and_advice,eq_nonnum,Tsunami warning downgraded but stay away from beaches #eqnz,0
13,prayers to everyone headed to haiti to help the hurricane victims 54,sympathy_and_support,noneq_nonnum,Prayers to everyone headed to Haiti to help the hurricane victims ὠ5Ὁ4,0
14,want to help get clean water and supplies to those impacted by #eqnz   have set up this donation page,rescue_volunteering_or_donation_effort,eq_nonnum,Want to help get clean water and supplies to those impacted by #eqnz? @NZRedCross have set up this donation page:,0
15,report from   tuesdays #mexicoearthquake death toll rises to 165 in #mexicocity   108 women  57 men  27 under age  #fuerzamexico,injured_or_dead_people,eq_num,"Report from @reforma: Tuesdays #mexicoearthquake death toll rises to 165 in #mexicocity - 108 women, 57 men (27 under-age) #fuerzamexico",1
16,my prayers go out to the dead  displaced  injured and grieving of #amatrice #italyearthquake,sympathy_and_support,eq_nonnum,"My prayers go out to the dead, displaced, injured and grieving of #Amatrice #ItalyEarthquake",0
17,our thoughts with florida and victims of hurricane #irma #nowplaying end of line,sympathy_and_support,noneq_nonnum,Our thoughts with Florida and victims of hurricane #Irma #NowPlaying End of Line -,0
18,the confirmed death toll for #harvey climbed to 23,injured_or_dead_people,noneq_num,The confirmed death toll for #Harvey climbed to 23:,0
19,just in  photos emerge from 7.4 magnitude ecuador earthquake that killed at least 28,injured_or_dead_people,eq_num,RT @ABC: JUST IN: Photos emerge from 7.4-magnitude Ecuador earthquake that killed at least 28,1
20,3 days greek national mourning where at least 60 people have been killed and 156 have been injured in athens #wildfires inferno  #greecefires #athenswildfires #mati # #greece,injured_or_dead_people,noneq_num,"3 Days Greek National Mourning where at least 60 people have been killed and 156 have been injured in Athens #wildfires inferno, #Greecefires #Athenswildfires #Mati #πυρκαγια #Greece",0
21,we urgently need to help puerto rico #hurricanemaria #disasterrelief,requests_or_urgent_needs,noneq_nonnum,We urgently need to help Puerto Rico #HurricaneMaria #DisasterRelief,0
22,hurricane harvey has left at least 5 people dead and dozens injured,injured_or_dead_people,noneq_num,Hurricane Harvey has left at least 5 people dead and dozens injured,0
23,enter our #charityraffle to help #mexico in the wake of the recent earthquake devastation  were at 70  of our goal so far  #mypni #bctech,rescue_volunteering_or_donation_effort,eq_nonnum,Enter our #charityraffle to help #Mexico in the wake of the recent earthquake devastation. We’re at 70% of our goal so far! #mypni #bctech,0
24,at least 1000 people dead and 80 000 displaced  #prayformozambique,injured_or_dead_people,noneq_num,"RT @GribOuest: At least 1000 people dead and 80,000 displaced. #PrayforMozambique",0
25,tune in to race hub at 6 pm on  to help the  support #hurricaneharvey victims  learn more here,other_relevant_information,noneq_nonnum,Tune in to Race Hub at 6 pm on @FS1 to help the @JoeyLoganoFDN support #HurricaneHarvey victims. Learn more here:,0
26,ive been awake all night with these bloody aftershocks now cant tell them apart from over tired wooziness #eqnz,other_relevant_information,eq_nonnum,Ive been awake all night with these bloody aftershocks now cant tell them apart from over-tired wooziness #eqnz,0
27,death toll in haiti soars days after hurricane matthew #generalnews,injured_or_dead_people,noneq_num,Death Toll in Haiti Soars Days After Hurricane Matthew #Generalnews,0
28,derry nun among those killed in ecuador earthquake  sister clare theresa crockett was teaching via,injured_or_dead_people,eq_num,Derry nun among those killed in Ecuador earthquake: Sister Clare Theresa Crockett was teaching  via @josephjett,1
29,at least 82 zimbabweans killed and buried in mozambique by cyclone idai,injured_or_dead_people,noneq_num,at least 82 Zimbabweans killed and buried in Mozambique by Cyclone Idai,0
30,ugh  one of the most humble families in the nba,not_humanitarian,eq_nonnum,Ugh. One of the most humble families in the nba.,0
31,in just a few hours  an idf delegation of 50 soldiers will take off for mexico to offer our aid in response to the earthquake,rescue_volunteering_or_donation_effort,eq_nonnum,"In just a few hours, an IDF delegation of 50 soldiers will take off for Mexico to offer our aid in response to the earthquake.",0
32,ecuador faced a big earthquake that killed and injuried hundreds of people  please broadcast this,injured_or_dead_people,eq_num,@TheEllenShow Ecuador faced a big earthquake that killed and injuried hundreds of people. Please broadcast this,1
33,there was an earthquake  7.1  in my country  mexico  and up to now there are 230 dead people,injured_or_dead_people,eq_num,"There was an earthquake (7.1) in my country, Mexico, and up to now there are 230 dead people",1
34,we stand in solidarity with our partner national societies  red cross societies of malawi  mozambique  zimbabwe who work around the clock to respond to humanitarian needs resulted by #cycloneidai  is in contact with its movement partners to support the relief efforts,other_relevant_information,noneq_nonnum,"We stand in solidarity with our Partner National Societies, Red Cross Societies of Malawi, Mozambique, Zimbabwe who work around the clock to respond to humanitarian needs resulted by #CycloneIdai @TurkKizilay is in contact with its Movement partners to support the relief efforts.",0
35,death toll in africa climbs past 600 after cyclone #cycloneidai,injured_or_dead_people,noneq_num,RT @NatashaFatah: Death Toll in Africa Climbs Past 600 After Cyclone #CycloneIdai,0
36,nbliquor prompt at cash campaign raised early $155k for  relief efforts in #fortmcmurray #wildfire,rescue_volunteering_or_donation_effort,noneq_nonnum,RT @BJMCBC: NBLiquor prompt-at-cash campaign raised early $155K for @redcrosscanada relief efforts in #FortMcMurray #wildfire,0
37,the 5 deaths in a hollywood  fl nursing home are very sad and were preventable  i knew this before irma hit,injured_or_dead_people,noneq_num,"The 5 deaths in a Hollywood, FL nursing home are very sad and were preventable. I knew this BEFORE Irma hit.",0
38,#news via #foxnews death toll rises to 360 in mexico earthquake,injured_or_dead_people,eq_num,RT @lopezgovlaw: #News via #FOXNEWS Death toll rises to 360 in Mexico earthquake |,1
39,#insurance massive quake causes widespread damage  kills 262 in ecuador,injured_or_dead_people,eq_num,"#insurance Massive quake causes widespread damage, kills 262 in Ecuador",1
40,half of the victims of the greece fire were killed in a single village east of athens,injured_or_dead_people,noneq_num,RT @DailyMirror: Half of the victims of the Greece fire were killed in a single village east of Athens ?,0
41,generators courtesy of pension fund heading to puerto rico #puertoricostrong #ccdoc,rescue_volunteering_or_donation_effort,noneq_nonnum,RT @dagulden: Generators courtesy of Pension Fund heading to Puerto Rico #PuertoRicoStrong #ccdoc,0
42,more than 200 people have died in a 7.2 magnitude quake in mexico city,injured_or_dead_people,eq_num,RT @business: More than 200 people have died in a 7.2 magnitude quake in Mexico City,1
43,five dead as flood waters rise in houston via  #hurricaneharvey #texas #flooding #houston,injured_or_dead_people,noneq_num,Five Dead as Flood Waters Rise in Houston  via @thedailybeast #HurricaneHarvey #texas #flooding #Houston,0
44,hurricane marias second order effects    a damaged dam,infrastructure_and_utility_damage,noneq_nonnum,Hurricane Marias second order effects.. a damaged dam,0
45,reuters reports puerto rico suffers after hurricane #maria as aid is slow to arrive  this story and more in the re,other_relevant_information,noneq_nonnum,REUTERS reports Puerto Rico suffers after Hurricane #Maria as aid is slow to arrive. This story and more in the Re,0
46,more and more people are doing their part to help those affected by #cycloneidai lets join #thenextmile and do our part and stand with #mozambique #malawi and #zimbabwe   donate today,rescue_volunteering_or_donation_effort,noneq_nonnum,More and more people are doing their part to help those affected by #CycloneIdai Let’s join #thenextmile and do our part and stand with #Mozambique #Malawi and #Zimbabwe . Donate today:,0
47,first night out since irmashould i be a lion or a lamb   who am i kidding  id settle for a squirrel right about now   lol,other_relevant_information,noneq_nonnum,"First night out since Irma❗️Should I be a Lion or a Lamb. (Who am I kidding, Id settle for a Squirrel right about now.) lol",0
48,us president donald trump says puerto ricans want everything to be done for them after they criticized the pace of relief efforts in the wake of hurricane maria,not_humanitarian,noneq_nonnum,US President Donald Trump says Puerto Ricans want everything to be done for them after they criticized the pace of relief efforts in the wake of Hurricane Maria.,0
49,prau and help also  please,requests_or_urgent_needs,eq_nonnum,"Prau and help also, please!",0
50,dozens killed  hundreds hurt as powerful quake hit ecuador earthquakes  warnings and lessons htt,injured_or_dead_people,eq_num,"RT @tomorrowsworld: Dozens killed, hundreds hurt as powerful quake hit Ecuador  Earthquakes, warnings &amp; lessons htt",1
51,a state of emergency has been declared in ecuador where at least 233 people have died more,injured_or_dead_people,eq_num,RT @tv6tnt: A STATE of emergency has been declared in Ecuador where at least 233 people have died MORE:,1
52,#mozambique cyclone death toll surges to more than 200  mozambique president,injured_or_dead_people,noneq_num,#Mozambique cyclone death toll surges to more than 200: Mozambique president @kikyjosh @MalcolmWebb,0
53,the  takes a look at construction issues in one mexico city #earthquake collapse  http,infrastructure_and_utility_damage,eq_nonnum,RT @EuroGeosciences: The @latimes takes a look at construction issues in one Mexico City #earthquake collapse.  http,0
54,prayers for the earthquake victims of mexico city  fuerza mexico   fe2dfe,sympathy_and_support,eq_nonnum,RT @cypresshill: Prayers for the earthquake victims of Mexico City. Fuerza Mexico!! ὤFἿE἟2἟DὤFἿE,0
55,photos  ecuadors biggest quake in decades kills over 240 people,injured_or_dead_people,eq_num,RT @AP: PHOTOS: Ecuador’s biggest quake in decades kills over 240 people:,1
56,much of new zealand felt the earthquake after midnight  waking to discover how much damage,other_relevant_information,eq_nonnum,Much of New Zealand felt the earthquake after midnight; waking to discover how much damage,0
57,ok  enough with the aftershocks  thanks mother nature  just settle down  #eqnz,other_relevant_information,eq_nonnum,"Ok, enough with the aftershocks, thanks Mother Nature. Just settle down. #eqnz",0
58,powerful 7.8 magnitude #earthquake kills 77 in #ecuador  #tsunami warning lifted,injured_or_dead_people,eq_num,"RT @IndiaToday: Powerful 7.8 magnitude #earthquake kills 77 in #Ecuador, #tsunami warning lifted",1
59,a disaster happened  ecuador has been hit by a heavy earthquake  so many deaths  wounded people and a chaos in,injured_or_dead_people,eq_num,"A disaster happened, Ecuador has been hit by a heavy earthquake. So many deaths, wounded people and a chaos in",1
60,new zealand earthquake  two dead as tsunami threat passes live,injured_or_dead_people,eq_num,New Zealand earthquake: two dead as tsunami threat passes – live,1
61,here we go  #harvey prompting the first tornado warning for decatur county,caution_and_advice,noneq_nonnum,Here we go. #Harvey prompting the first tornado warning for Decatur County. @NC5,0
62,thousands without home  towns destroyed  #help #donate #earthquake #ecuador #earthquakerelief,rescue_volunteering_or_donation_effort,eq_nonnum,RT @majoguevarad: Thousands without home. Towns destroyed. #help #donate #Earthquake #Ecuador #EarthquakeRelief @QuitoShapers /,0
63,strongest storm to hit the us territory in nearly 90 years  hurricane maria has killed at least nine,injured_or_dead_people,noneq_num,"Strongest storm to hit the US territory in nearly 90 years, Hurricane Maria has killed at least nine",0
64,not all heroes wear capes f a big thank you to these men who fight the fire and put their lives in danger to save other lives  f #prayforgreece #prayforathens,rescue_volunteering_or_donation_effort,noneq_nonnum,NOT ALL HEROES WEAR CAPES ὄF A BIG thank you to these men who fight the fire and put their lives in danger to save other lives! ὤF #PrayForGreece #PrayForAthens,0
65,i read ur disgusting blog  #hurricaneharvey and #harveysheroes r the most important thing  fyi a cop got killed  a little girl lost her daddy,injured_or_dead_people,noneq_num,@MattWalshBlog I read ur disgusting blog. #HurricaneHarvey &amp; #HarveysHeroes r the most important thing. FYI a cop got killed. A little girl lost her daddy.,0
66,more than 20 children are feared dead after a school collapsed during mexicos earthquake  rescues continue right now,injured_or_dead_people,eq_num,More than 20 children are feared dead after a school collapsed during Mexicos Earthquake. Rescues continue right now! @NBCLA,1
67,earthquake along ecuadors central coast takes 241 lives  we in cuenca felt sharp tremors  no damage  frayed nerves,injured_or_dead_people,eq_num,"Earthquake along Ecuadors central coast takes 241 lives. We in Cuenca felt sharp tremors, no damage. Frayed nerves.",1
68,#cycloneidai killed nearly 800 people and ravaged #zimbabwe  what is pres  #mnangagwa using relief funds for  chartering private jets for himself and his deputies  nothing has changed in #zimbabwe under #mnangagwa  #corruption is the name of the game,injured_or_dead_people,noneq_num,"#CycloneIdai killed nearly 800 people and ravaged #Zimbabwe. What is Pres. #Mnangagwa using relief funds for? Chartering private jets for himself and his deputies. Nothing has changed in #Zimbabwe under #Mnangagwa, #corruption is the name of the game.",0
69,#puertoriconeedshelpnow #puertoricorelief people or dying     babies are dying animals are dying  still no water or food day 9,injured_or_dead_people,noneq_num,#PuertoRicoNeedsHelpNow #PuertoRicoRelief People or dying .. babies are dying animals are dying! STILL NO WATER OR FOOD Day 9,0
70,purchase virtual biscuits and we will in turn donate #guidebiscuits to those in need #eqnz http,rescue_volunteering_or_donation_effort,eq_nonnum,RT @GirlGuidingNZ: Purchase virtual biscuits  &amp; we will in turn donate #guidebiscuits to those in need #eqnz http,0
71,first lady was the first to donate to #cycloneidai muchinguri,rescue_volunteering_or_donation_effort,noneq_nonnum,First lady was the first to donate to #CycloneIdai Muchinguri.@ProfJNMoyo,0
72,#cycloneidai yet another alarm bell about the dangers of #climatechange  761 people have died in #mozambique  #zimbabwe  #malawi  1.85 million in urgent need of aid  floods cover more ground than #nyc  #chicago  d c   #boston combined  #actonclimate,injured_or_dead_people,noneq_num,"#CycloneIdai yet another alarm bell about the dangers of #climatechange. 761 people have died in #Mozambique, #Zimbabwe, #Malawi. 1.85 million in urgent need of aid. Floods cover more ground than #NYC, #Chicago, D.C., #Boston — combined.  #ActOnClimate",0
73,thanks my family safe and did not feel earthquake in auckland but wellington and further south still assessing damage  #eqnz,infrastructure_and_utility_damage,eq_nonnum,@AngelaPurser thanks my family safe &amp; did not feel earthquake in Auckland but Wellington &amp; further south still assessing damage! #eqnz,0
74,tropical storm watches are now in effect for the outerbanks and coastal areas of nc  #ncwx 3obx #maria,caution_and_advice,noneq_nonnum,RT @wxbrad: Tropical Storm Watches are now in effect for the Outerbanks and Coastal areas of NC. #ncwx 3OBX #Maria,0
75,a #pacena on her quest to help mexico city and the earthquake victims including dogs pets  please help and share,requests_or_urgent_needs,eq_nonnum,A #pacena on her quest to help Mexico CIty and the earthquake victims including dogs/pets. Please help &amp; share!,0
76,new story  red flag calls signaled post irma deaths at nursing home #wral,injured_or_dead_people,noneq_num,New story: Red flag calls signaled post-Irma deaths at nursing home  #wral,0
77,poor haiti    barely over the earthquake and now this hurricane   the poor people have been through so much    041f,other_relevant_information,noneq_nonnum,RT @cherokeesher2: Poor Haiti.. Barely over the earthquake and now this hurricane. .the poor people have been through so much.. ὡ0ὡ4ὤ1ὢF,0
78,for you  #goodnight #hardnight #terremoto #terremotoamatrice #prayforitaly #prayforamatrice,sympathy_and_support,eq_nonnum,For you. ❤ #goodnight #hardnight #terremoto #terremotoamatrice #prayforitaly #prayforamatrice,0
79,death toll from #italyearthquake jumps to nearly 250,injured_or_dead_people,eq_num,RT @HuffingtonPost: Death toll from #ItalyEarthquake jumps to nearly 250,1
80,#cycloneidai we have deployed 46 water tanks and two bowser trucks to provide potable water to affected communities  these have been deployed in buhera  2   checheche  2   rimbi  1   chibuwe  1   murambinda  2  while the rest have been reserved for chimanimani and chipinge,rescue_volunteering_or_donation_effort,noneq_nonnum,"#CycloneIdai we have deployed 46 water tanks and two bowser trucks to provide potable water to affected communities. These have been deployed in Buhera (2), Checheche (2), Rimbi (1), Chibuwe (1), Murambinda (2) while the rest have been reserved for Chimanimani and Chipinge",0
81,we are responding with safe water tablets  medicine and food with local partners  please keep haiti in your prayers,sympathy_and_support,noneq_nonnum,"We are responding with safe water tablets, medicine and food with local partners. Please keep Haiti in your prayers.",0
82,how do you deconstruct something like this safely and in such close proximity to other buildings,not_humanitarian,eq_nonnum,How do you deconstruct something like this safely and in such close proximity to other buildings?,0
83,greece is in mourning with 74 people now confirmed dead in devastating wildfires near the ancient city of athens   #9news,injured_or_dead_people,noneq_num,Greece is in mourning with 74 people now confirmed dead in devastating wildfires near the ancient city of Athens. @michaelbesty #9News,0
84,#australia #news   at least 11 people are dead as hurricane matthew batters haiti and the dominican republic,injured_or_dead_people,noneq_num,#Australia #News : At least 11 people are dead as Hurricane Matthew batters Haiti and the Dominican Republic.,0
85,update  more than 200 people are confirmed dead in mozambique as a result of cyclone idai  the president says the actual death toll may be up to 1 000 and has declared 3 days of mourning,injured_or_dead_people,noneq_num,"UPDATE: More than 200 people are confirmed dead in Mozambique as a result of Cyclone Idai. The president says the actual death toll may be up to 1,000 and has declared 3 days of mourning.",0
86,if you have to be out this early morning use caution  getting several reports of debris on the roads  #irmanc,other_relevant_information,noneq_nonnum,If you have to be out this early morning use caution. Getting several reports of debris on the roads.  #IrmaNC,0
87,#3novices   powerful earthquake shakes new zealand  killing 2 and setting off tsunami warning a powerful quake rat,injured_or_dead_people,eq_num,"#3Novices : Powerful earthquake shakes New Zealand, killing 2 and setting off tsunami warning  A powerful quake rat",1
88,update on the area still covered,other_relevant_information,eq_nonnum,Update on the area still covered,0
89,retweeted ana ramona      we need help taking donations from miami  fl to ecuador,rescue_volunteering_or_donation_effort,eq_nonnum,"Retweeted Ana Ramona (@acrisgonzalez): @AmericanAir we need help taking donations from Miami, Fl to Ecuador.",0
90,hundreds of people gathered on #syntagma square in #athens tonight to commemorate the victims of the devastating #wildfire in the east coast of #attica that killed 91 people and injured dozens a week ago   #athensfires #greecefire #greece,injured_or_dead_people,noneq_num,Hundreds of people gathered on #Syntagma square in #Athens tonight to commemorate the victims of the devastating #wildfire in the east coast of #Attica that killed 91 people and injured dozens a week ago / #AthensFires #greecefire #Greece,0
91,you can evacuate before storm or after floods and mayhem  houston chose late  #trumpbacktoschooltips #hurricaneharvey #potus #flotus #harvey,displaced_people_and_evacuations,noneq_nonnum,"You can evacuate before storm or after floods &amp; mayhem, Houston chose late! #TrumpBackToSchoolTips #HurricaneHarvey #POTUS #FLOTUS #Harvey",0
92,an earthquake kills dozen in ecuador,injured_or_dead_people,eq_num,RT @thedailybeast: An earthquake kills dozen in Ecuador:,1
93,breaking news   31 confirmed dead from #cycloneidai in zimbabwe the death toll from cyclone idai has risen to 31  the dead are mostly from the manicaland towns of chimanimani and chipinge,injured_or_dead_people,noneq_num,Breaking News - 31 Confirmed Dead From #CycloneIdai In Zimbabwe The death toll from Cyclone Idai has risen to 31. The dead are mostly from the Manicaland towns of Chimanimani and Chipinge,0
94,way to go willowbank  #eqnz #chch,not_humanitarian,eq_nonnum,Way to go Willowbank! #EQNZ #Chch,0
95,mozambique was a poor country making an impressive economic comeback when cyclone idai struck on 14 march  now moz must come up with us$773million to repair physical damage  pic  school   not to mention humanitarian aid  602 people are now confirmed dead,injured_or_dead_people,noneq_num,"Mozambique was a poor country making an impressive economic comeback when Cyclone Idai struck on 14 March. Now Moz must come up with US$773million to repair physical damage (pic: school), not to mention humanitarian aid. 602 people are now confirmed dead.",0
96,another earthquake hit mexico city today and has killed at least 225 ppl  24f2d,injured_or_dead_people,eq_num,RT @maloosak77: Another Earthquake hit Mexico City today &amp; has killed at least 225 ppl! ὢ2Ὁ4ὤF἟2἟D,1
97,sending positive thoughts and prayers to victims and our family in italy  e9 vi vogliamo bene italia #italyearthquake #italia,sympathy_and_support,eq_nonnum,Sending positive thoughts and prayers to victims and our family in Italy. ἞E἟9 Vi vogliamo bene Italia #ItalyEarthquake #italia,0
98,eight people reported dead in #texas following hurricane harvey #mayor #portaransas,injured_or_dead_people,noneq_num,Eight people reported dead in #Texas following Hurricane Harvey #mayor #PortAransas,0
99,today stop by #mdpds kendall district station from 10am   6pm  we are collecting items to donate to the victims of #hurricanemaria,rescue_volunteering_or_donation_effort,noneq_nonnum,"TODAY ➡️ Stop by #MDPDs Kendall District Station from 10AM - 6PM, we are collecting items to donate to the victims of #HurricaneMaria.",0
100,6.3 magnitude earthquake hits new zealand  us geological survey the earthquake was centre,caution_and_advice,eq_nonnum,6.3 Magnitude Earthquake Hits New Zealand: US Geological Survey The earthquake was centre,0
101,update  the 2 quebecers killed in the ecuador earthquake were a mother and her 12 year old son  for more,injured_or_dead_people,eq_num,RT @CBCMontreal: UPDATE: The 2 Quebecers killed in the Ecuador earthquake were a mother and her 12-year-old son. For more:,1
102,truth is 10 days after maria half of hurricane ravaged puerto rico faces lack of drinking water,other_relevant_information,noneq_nonnum,"@RealDonaldTrump TRUTH is 10 days after Maria,Half of Hurricane-Ravaged Puerto Rico Faces Lack of Drinking Water -",0
103,update  at least 77 dead  588 wounded in #ecuador earthquake,injured_or_dead_people,eq_num,"RT @NBCNews: UPDATE: At least 77 dead, 588 wounded in #Ecuador earthquake",1
104,camiiiplease   help we #prayforitaly i love youu  lt 3,sympathy_and_support,eq_nonnum,@camilacabello97 camiiiplease..help we #PrayForItaly i love youu &lt;3 :[,0
105,272 killed in powerful ecuador quake  figure likely to rise,injured_or_dead_people,eq_num,"272 killed in powerful Ecuador quake, figure likely to rise",1
106,a tale of two countries  so far   usa   100k   plus zidera  uk  23million albeit to be used for all #cycloneidai affected areas,rescue_volunteering_or_donation_effort,noneq_nonnum,A tale of two countries. So far . USA - 100K ( plus Zidera) UK -23million albeit to be used for all #CycloneIdai affected areas.,0
107,flooding cuts off quake hit wellington  evacuations possible   new zealand awful weather battering the country,displaced_people_and_evacuations,eq_nonnum,"Flooding cuts-off quake-hit Wellington, evacuations possible - New Zealand  Awful weather battering the country",0
108,#redcross is accepting donations for #hurricanemaria relief efforts,rescue_volunteering_or_donation_effort,noneq_nonnum,RT @VirginRadio_KW: #RedCross is accepting donations for #HurricaneMaria relief efforts.,0
109,anyone in the #boyleheights #dtla area willing and able to help package 80 tents to be shipped to #mexicoearthquake victims,rescue_volunteering_or_donation_effort,eq_nonnum,RT @JChavez002: Anyone in the #BoyleHeights #DTLA area willing and able to help package 80 tents to be shipped to #MexicoEarthquake victims,0
110,beyonce  shawn mendes and more stars tweet support for earthquake victims in mexico city,sympathy_and_support,eq_nonnum,"RT @billboard: Beyonce, Shawn Mendes &amp; more stars tweet support for earthquake victims in Mexico City  /",0
111,#jenniferlopez is donating us$1 million to help #rebuild #puertorico #maria #hurricane #humanitarian #crisis,rescue_volunteering_or_donation_effort,noneq_nonnum,#JenniferLopez is donating US$1 million to help #rebuild #PuertoRico #Maria #hurricane #humanitarian #crisis,0
112,i can not believe more than 159 people have died from another earthquaked8 #prayforitaly e9,injured_or_dead_people,eq_num,RT @chiccaromanista: I can not believe more than 159 people have died from another earthquakeὢDὤ8 #PrayForItaly ἞E἟9,1
113,more than 200 dead  were now told  victims of the earthquake in mexico yesterday  4 #fuerzamexico f,injured_or_dead_people,eq_num,"RT @ThePerezHilton: More than 200 dead, were now told, victims of the earthquake in Mexico yesterday. ὡ4 #FuerzaMexico ὤF",1
114,confirmed  texas city loses water  44 dead  but thousands of #harvey survivors rescued  #houstonstrong #hurricaneharvey #houstonflood #flood,injured_or_dead_people,noneq_num,"Confirmed: Texas city loses water, 44 dead, but thousands of #Harvey survivors rescued. #HoustonStrong #HurricaneHarvey #HoustonFlood #Flood",0
115,both #lesmillslambton and #lesmillsextreme will be closed in the morning until we can confirm buildings are safe #eqnz,caution_and_advice,eq_nonnum,RT @LesMillsWgtn: Both #lesmillslambton and #lesmillsextreme will be closed in the morning until we can confirm buildings are safe #eqnz,0
116,bar 180 will be hosting a fund raising happy hour this thursday to help raise money for victims of hurricane maria in pr,rescue_volunteering_or_donation_effort,noneq_nonnum,RT @Mikes_Hard: Bar 180 will be hosting a fund raising happy hour this Thursday to help raise money for victims of Hurricane Maria in PR.,0
117,7.8 earthquake rocks ecuador  killing hundreds  the strongest earthquake to hit ecuador in decades #usa #news,injured_or_dead_people,eq_num,"7.8 Earthquake Rocks Ecuador, Killing Hundreds: The strongest earthquake to hit Ecuador in decades   #USA #News",1
118,after hurricane maria  humanitarian crisis grows in puerto rico  death toll from maria stands at 13  likely to rise,injured_or_dead_people,noneq_num,"After Hurricane Maria, humanitarian crisis grows in Puerto Rico. Death toll from Maria stands at 13, likely to rise.",0
119,first earthquakes  now floods  whats next #eqnz #wellington,caution_and_advice,eq_nonnum,"First earthquakes, now floods, whats next #eqnz #Wellington",0
120,before #italyearthquake this was village of ilica  two died when this house collapsed early wednesday,infrastructure_and_utility_damage,eq_nonnum,Before #ItalyEarthquake this was village of Ilica. Two died when this house collapsed early Wednesday. @USATODAY,0
121,my heart goes out to the 5 million people in haiti who have been affected by hurricane mathew #haiti #haitimatthew #naturaldisasters #hug,sympathy_and_support,noneq_nonnum,My heart goes out to the 5 million people in Haiti who have been affected by Hurricane Mathew #Haiti #HaitiMatthew #naturaldisasters #hug,0
122,#harvey makes its 2nd landfall  this time in louisiana   18 people dead  no rain in houston last night for the 1st time in 5 days,injured_or_dead_people,noneq_num,"#Harvey makes its 2nd landfall (this time in Louisiana), 18 people dead, no rain in Houston last night for the 1st time in 5 days.",0
123,number of dead rises in greece wildfires as at least 100 homes go up in flames,injured_or_dead_people,noneq_num,RT @SkyNews: Number of dead rises in Greece wildfires as at least 100 homes go up in flames,0
124,if you are a daca citizen  affected by harvey irma  do you rely on feds for help  or suffer in fear,sympathy_and_support,noneq_nonnum,"@ChrisCuomo If you are a DACA citizen, affected by Harvey/Irma, do you rely on Feds for help? Or suffer in fear?",0
125,photos show devastation from the mexico earthquake that has killed more than 200 people,injured_or_dead_people,eq_num,RT @businessinsider: Photos show devastation from the Mexico earthquake that has killed more than 200 people  :,1
126,#breaking  greece wildfires kills dozens including group huddled together read more,injured_or_dead_people,noneq_num,RT @AlBoeNEWS: #BREAKING: Greece wildfires kills dozens including group huddled together READ MORE:,0
